"team.id" "team.name" "team.logo" "league.id" "league.name" "league.country" "league.logo" "league.flag" "league.season" "games.appearences" "games.lineups" "games.minutes" "games.number" "games.position" "games.rating" "games.captain" "substitutes.in" "substitutes.out" "substitutes.bench" "shots.total" "shots.on" "goals.total" "goals.conceded" "goals.assists" "goals.saves" "passes.total" "passes.key" "passes.accuracy" "tackles.total" "tackles.blocks" "tackles.interceptions" "duels.total" "duels.won" "dribbles.attempts" "dribbles.success" "dribbles.past" "fouls.drawn" "fouls.committed" "cards.yellow" "cards.yellowred" "cards.red" "penalty.won" "penalty.commited" "penalty.scored" "penalty.missed" "penalty.saved" "player.id" "player.name" "player.firstname" "player.lastname" "player.age" "player.nationality" "player.height" "player.weight" "player.injured" "player.photo" "player.birth.date" "player.birth.place" "player.birth.country" "id"
"34" 62 "Sheffield Utd" "https://media-1.api-sports.io/football/teams/62.png" 40 "Championship" "England" "https://media-2.api-sports.io/football/leagues/40.png" "https://media.api-sports.io/flags/gb.svg" 2021 37 35 3083 NA "Midfielder" "7.172972" FALSE 2 10 2 70 34 12 0 10 NA 1394 61 27 27 1 11 477 189 119 49 NA 54 37 7 1 0 NA NA 0 0 NA 18746 "M. Gibbs-White" "Morgan Anthony" "Gibbs-White" 23 "England" NA NA FALSE "https://media-1.api-sports.io/football/players/18746.png" "2000-01-27" NA "England" 14
"35" 1359 "Luton" "https://media.api-sports.io/football/teams/1359.png" 40 "Championship" "England" "https://media-2.api-sports.io/football/leagues/40.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 40 32 2556 NA "Attacker" "6.861538" FALSE 8 26 10 45 26 12 0 4 NA 462 29 7 26 NA 12 342 105 67 23 NA 18 29 4 0 0 NA NA 0 0 NA 19773 "H. Cornick" "Harry" "Cornick" 28 "England" "180 cm" "84 kg" FALSE "https://media.api-sports.io/football/players/19773.png" "1995-04-09" "Poole" "England" 15
"36" 64 "Hull City" "https://media-2.api-sports.io/football/teams/64.png" 40 "Championship" "England" "https://media-2.api-sports.io/football/leagues/40.png" "https://media.api-sports.io/flags/gb.svg" 2021 46 46 4140 NA "Attacker" "6.893478" FALSE 0 1 0 80 36 12 0 3 NA 1156 54 19 20 3 35 358 153 132 59 NA 54 19 3 0 0 NA NA 0 0 NA 106725 "K. Lewis-Potter" "Keane William" "Lewis-Potter" 22 "England" "170 cm" "67 kg" FALSE "https://media-1.api-sports.io/football/players/106725.png" "2001-02-22" "Hull" "England" 16
"37" 76 "Swansea" "https://media-1.api-sports.io/football/teams/76.png" 40 "Championship" "England" "https://media-1.api-sports.io/football/leagues/40.png" "https://media.api-sports.io/flags/gb.svg" 2021 32 20 2018 NA "Attacker" "6.818750" FALSE 12 8 13 39 26 12 0 3 NA 311 27 8 4 NA 9 157 51 35 18 NA 22 18 3 0 0 NA NA 0 0 NA 18957 "M. Obafemi" "Michael" "Oluwadurotimi Obafemi" 23 "Republic of Ireland" "169 cm" "71 kg" FALSE "https://media-2.api-sports.io/football/players/18957.png" "2000-07-06" "Dublin" "Republic of Ireland" 17
"38" 56 "Bristol City" "https://media-1.api-sports.io/football/teams/56.png" 40 "Championship" "England" "https://media-2.api-sports.io/football/leagues/40.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 45 43 3824 NA "Attacker" "7.025000" FALSE 2 5 3 71 38 12 0 6 NA 1229 36 16 13 6 8 816 344 27 7 NA 35 49 5 0 0 NA NA 1 0 NA 19431 "C. Martin" "Christopher Hugh" "Martin" 35 "Scotland" "178 cm" "73 kg" FALSE "https://media-2.api-sports.io/football/players/19431.png" "1988-11-04" "Beccles" "England" 18
"39" 58 "Millwall" "https://media-2.api-sports.io/football/teams/58.png" 40 "Championship" "England" "https://media-2.api-sports.io/football/leagues/40.png" "https://media-2.api-sports.io/flags/gb.svg" 2021 38 34 3053 NA "Attacker" "6.783783" FALSE 4 13 5 54 34 12 0 3 NA 573 21 10 17 1 4 476 180 48 23 NA 37 17 4 0 0 NA NA 1 0 NA 3032 "B. Afobe" "Benik Tunani" "Afobe" 30 "Congo DR" "183 cm" "78 kg" FALSE "https://media-2.api-sports.io/football/players/3032.png" "1993-02-12" "London" "England" 19
"40" 65 "Nottingham Forest" "https://media-1.api-sports.io/football/teams/65.png" 40 "Championship" "England" "https://media-1.api-sports.io/football/leagues/40.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 32 23 2051 NA "Attacker" "6.865625" FALSE 9 12 10 41 22 12 0 4 NA 462 26 10 9 5 5 182 59 32 15 NA 13 19 3 0 0 NA NA 2 0 NA 19308 "L. Grabban" "Lewis" "Grabban" 34 "England" "183 cm" "78 kg" FALSE "https://media-1.api-sports.io/football/players/19308.png" "1988-01-12" "London" "England" 20
"41" 61 "Wigan" "https://media-2.api-sports.io/football/teams/61.png" 41 "League One" "England" "https://media-1.api-sports.io/football/leagues/41.png" "https://media.api-sports.io/flags/gb.svg" 2021 44 43 3744 NA "Attacker" "7.052272" FALSE 1 12 1 75 40 26 0 7 NA 1149 32 21 44 4 16 452 173 32 16 NA 34 63 2 0 0 NA NA 3 0 NA 19745 "W. Keane" "William David" "Keane" 30 "Republic of Ireland" "188 cm" "78 kg" FALSE "https://media-2.api-sports.io/football/players/19745.png" "1993-01-11" "Stockport" "England" 1
"42" 746 "Sunderland" "https://media.api-sports.io/football/teams/746.png" 41 "League One" "England" "https://media-2.api-sports.io/football/leagues/41.png" "https://media.api-sports.io/flags/gb.svg" 2021 49 49 4335 NA "Attacker" "7.263265" FALSE 0 6 0 113 60 26 0 3 NA 1277 66 16 28 5 10 772 346 46 15 NA 53 73 8 0 0 NA NA 4 1 NA 45078 "R. Stewart" "Ross Cameron" "Stewart" 27 "Scotland" "188 cm" "85 kg" FALSE "https://media-1.api-sports.io/football/players/45078.png" "1996-07-11" "Irvine" "Scotland" 2
"43" 1372 "Cheltenham" "https://media.api-sports.io/football/teams/1372.png" 41 "League One" "England" "https://media-1.api-sports.io/football/leagues/41.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 46 40 3536 NA "Attacker" "7.097777" FALSE 6 12 6 93 62 23 0 4 NA 695 51 11 32 2 19 284 102 47 13 NA 53 41 7 0 0 NA NA 1 0 NA 19938 "A. May" "Alfie Ben" "May" 30 "England" "176 cm" "72 kg" FALSE "https://media.api-sports.io/football/players/19938.png" "1993-07-02" "Gravesend" "England" 3
